pos_enc,dep_enc,prev_pos_enc,next_pos_enc,prev_is_prep,next_is_noun,is_act_verb,is_loc_word,is_capitalized,is_ent,token_pos_norm,sentence_len,is_number
10,36,17,7,0,1,0,0,1,0,0.0,0.3,0
7,29,10,3,0,0,0,0,1,0,0.0714,0.3,0
3,13,7,5,0,0,0,0,0,0,0.1429,0.3,0
5,20,3,11,0,1,0,0,0,0,0.2143,0.3,0
11,8,5,1,0,0,0,0,1,0,0.2857,0.3,0
1,39,11,5,0,0,0,0,0,0,0.3571,0.3,0
5,20,1,14,0,0,0,0,0,0,0.4286,0.3,0
14,19,5,7,0,1,0,0,0,0,0.5,0.3,0
7,14,14,7,0,1,0,0,0,0,0.5714,0.3,0
7,35,7,3,0,0,0,0,0,0,0.6429,0.3,0
3,9,7,11,0,1,0,0,1,1,0.7143,0.3,0
11,29,3,16,0,0,0,0,1,1,0.7857,0.3,0
16,0,11,10,0,0,0,0,1,1,0.8571,0.3,0
10,21,16,10,0,0,0,0,0,0,0.9286,0.3,0
10,21,10,17,0,0,0,0,0,0,1.0,0.3,0
7,14,17,7,0,1,0,0,1,0,0.0,0.18,0
7,0,7,1,0,0,0,0,0,0,0.125,0.18,0
1,39,7,11,0,1,0,0,0,0,0.25,0.18,0
11,14,1,11,1,1,0,0,1,1,0.375,0.18,0
11,14,11,11,0,1,0,0,1,1,0.5,0.18,0
11,35,11,12,0,0,0,0,1,1,0.625,0.18,0
12,41,11,14,0,0,0,0,0,1,0.75,0.18,0
14,19,12,11,0,1,0,0,0,0,0.875,0.18,0
11,0,14,17,0,0,0,0,1,1,1.0,0.18,0
5,20,17,7,0,1,0,0,1,0,0.0,0.56,0
7,29,5,16,0,0,0,0,0,0,0.037,0.56,0
16,0,7,1,0,0,0,0,0,0,0.0741,0.56,0
1,39,16,14,0,0,0,0,0,0,0.1111,0.56,0
14,19,1,12,0,0,0,0,0,0,0.1481,0.56,0
12,41,14,7,0,1,0,0,0,0,0.1852,0.56,0
7,35,12,1,0,0,0,1,0,0,0.2222,0.56,0
1,39,7,7,0,1,0,0,0,0,0.2593,0.56,0
7,35,1,12,1,0,0,0,0,0,0.2963,0.56,0
12,41,7,14,0,0,0,0,0,0,0.3333,0.56,0
14,19,12,3,0,0,0,0,0,0,0.3704,0.56,0
3,9,14,3,0,0,0,0,0,0,0.4074,0.56,0
3,10,3,16,0,0,0,0,0,0,0.4444,0.56,0
16,13,3,1,0,0,0,0,0,0,0.4815,0.56,0
