Feature,AdaBoost,Decision Tree,Random Forest,Mean
pos_enc,0.34339,0.43766,0.20008,0.32704333333333335
is_ent,0.23869,0.23235,0.1423,0.20444666666666667
prev_pos_enc,0.2004,0.0878,0.18988,0.15936
dep_enc,0.08258,0.11122,0.19711,0.13030333333333333
prev_is_prep,0.09923,0.04881,0.07064,0.07289333333333332
is_act_verb,0.02962,0.03973,0.03808,0.03581
token_pos_norm,0.0051,0.01527,0.04524,0.02187
is_capitalized,0.0,0.00897,0.03725,0.015406666666666666
next_pos_enc,0.00077,0.00626,0.02833,0.011786666666666668
sentence_len,1e-05,0.00484,0.02875,0.0112
is_loc_word,0.0002,0.00563,0.01042,0.005416666666666667
next_is_noun,0.0,0.00052,0.00724,0.0025866666666666664
is_number,0.0,0.00095,0.00469,0.00188
