response_id,source_type,kmeans_cluster,hierarchical_cluster
H_0001,human,0,0
H_0002,human,0,0
H_0003,human,0,0
H_0004,human,0,0
H_0005,human,0,0
H_0006,human,0,0
H_0007,human,0,0
H_0008,human,0,0
H_0009,human,0,0
H_0010,human,0,0
H_0011,human,0,0
H_0012,human,0,0
H_0013,human,0,0
H_0014,human,0,0
H_0015,human,0,0
H_0016,human,0,0
H_0017,human,0,0
H_0018,human,0,0
H_0019,human,0,0
H_0020,human,0,0
H_0021,human,0,0
H_0022,human,0,0
H_0023,human,0,0
H_0024,human,0,0
H_0025,human,0,0
H_0026,human,0,0
H_0027,human,0,0
H_0028,human,0,0
H_0029,human,0,0
H_0030,human,0,0
H_0031,human,0,0
H_0032,human,0,0
H_0033,human,0,0
H_0034,human,0,0
H_0035,human,0,0
H_0036,human,0,0
H_0037,human,0,0
H_0038,human,0,0
H_0039,human,0,0
H_0040,human,0,0
H_0041,human,0,0
H_0042,human,0,0
H_0043,human,0,0
H_0044,human,0,0
H_0045,human,0,0
H_0046,human,0,0
H_0047,human,0,0
H_0048,human,0,0
H_0049,human,0,0
H_0050,human,0,0
H_0051,human,0,0
H_0052,human,0,0
H_0053,human,0,0
H_0054,human,0,0
H_0055,human,0,0
H_0056,human,0,0
H_0057,human,0,0
H_0058,human,0,0
H_0059,human,0,0
H_0060,human,0,0
H_0061,human,0,0
H_0062,human,0,0
H_0063,human,0,0
H_0064,human,0,0
H_0065,human,0,0
H_0066,human,0,0
H_0067,human,0,0
H_0068,human,0,0
H_0069,human,0,0
H_0070,human,0,0
H_0071,human,0,0
H_0072,human,0,0
H_0073,human,0,0
H_0074,human,0,0
H_0075,human,0,0
H_0076,human,0,0
H_0077,human,0,0
H_0078,human,0,0
H_0079,human,0,0
H_0080,human,0,0
H_0081,human,0,0
H_0082,human,0,0
H_0083,human,0,0
H_0084,human,0,0
H_0085,human,0,0
H_0086,human,0,0
H_0087,human,0,0
H_0088,human,0,0
H_0089,human,0,0
H_0090,human,0,0
H_0091,human,0,0
H_0092,human,0,0
H_0093,human,0,0
H_0094,human,0,0
H_0095,human,0,0
H_0096,human,0,0
H_0097,human,0,0
H_0098,human,0,0
H_0099,human,0,0
H_0100,human,0,0
H_0101,human,0,0
H_0102,human,0,0
H_0103,human,0,0
H_0104,human,0,0
H_0105,human,0,0
H_0106,human,0,0
H_0107,human,0,0
H_0108,human,0,0
H_0109,human,0,0
H_0110,human,0,0
H_0111,human,0,0
H_0112,human,0,0
H_0113,human,0,0
H_0114,human,0,0
H_0115,human,0,0
H_0116,human,0,0
H_0117,human,0,0
H_0118,human,0,0
H_0119,human,0,0
H_0120,human,0,0
H_0121,human,0,0
H_0122,human,0,0
H_0123,human,0,0
H_0124,human,0,0
H_0125,human,0,0
H_0126,human,0,0
H_0127,human,0,0
H_0128,human,0,0
H_0129,human,0,0
H_0130,human,0,0
H_0131,human,0,0
H_0132,human,0,0
H_0133,human,0,0
H_0134,human,0,0
H_0135,human,0,0
H_0136,human,0,0
H_0137,human,0,0
H_0138,human,0,0
H_0139,human,0,0
H_0140,human,0,0
H_0141,human,0,0
H_0142,human,0,0
H_0143,human,0,0
H_0144,human,0,0
H_0145,human,0,0
H_0146,human,0,0
H_0147,human,0,0
H_0148,human,0,0
H_0149,human,0,0
H_0150,human,0,0
H_0151,human,0,0
H_0152,human,0,0
H_0153,human,0,0
H_0154,human,0,0
H_0155,human,0,0
H_0156,human,0,0
H_0157,human,0,0
H_0158,human,0,0
H_0159,human,0,0
H_0160,human,0,0
H_0161,human,0,0
H_0162,human,0,0
H_0163,human,0,0
H_0164,human,0,0
H_0165,human,0,0
H_0166,human,0,0
H_0167,human,0,0
H_0168,human,0,0
H_0169,human,0,0
H_0170,human,0,0
H_0171,human,0,0
H_0172,human,0,0
H_0173,human,0,0
H_0174,human,0,0
